ID,level,trial,time_played,N_attempt,done,expectancy,SoC,crashed,N_drift,N_prior_crashs,SoC_last_trial,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
BI21RG,48,61,8.919805765151978,1,False,1,1,1,2,44,1.0,8,1,0,13
BI21RG,50,62,8.038386583328247,1,False,2,6,1,1,45,1.0,9,1,0,13
BI21RG,65,63,8.888991594314575,2,False,3,3,1,1,46,6.0,10,1,0,13
BI21RG,29,64,24.582921981811523,2,True,3,5,0,4,47,3.0,1,1,1,14
BI21RG,48,65,7.506487607955933,2,False,4,1,1,1,47,5.0,0,0,0,14
BI21RG,10,66,8.186352252960205,2,False,2,2,1,2,48,1.0,1,1,0,14
BI21RG,48,67,11.114811182022097,3,False,3,3,1,3,49,2.0,2,1,0,14
BI21RG,77,68,20.02496123313904,2,False,3,2,1,2,50,3.0,3,1,0,14
BI21RG,55,69,6.7379655838012695,1,False,4,1,1,1,51,2.0,4,1,0,14
BI21RG,5,70,17.3877215385437,1,True,4,5,0,4,52,1.0,1,1,1,15
BI21RG,31,71,19.978320837020878,2,True,5,5,0,4,52,5.0,2,0,0,15
BI21RG,52,72,10.71538543701172,2,False,5,2,1,2,52,5.0,0,0,0,15
BI21RG,45,73,19.643927574157715,1,True,5,5,0,4,53,2.0,1,1,1,16
BI21RG,41,74,12.371253728866575,1,False,6,2,1,2,53,5.0,0,0,0,16
BI21RG,75,75,14.732610940933228,1,False,5,3,1,3,54,2.0,1,1,0,16
BI21RG,59,76,6.330153465270996,2,False,5,1,1,1,55,3.0,2,1,0,16
BI21RG,79,77,19.316593408584595,2,True,4,5,0,4,56,1.0,1,1,1,17
BI21RG,14,78,12.32679033279419,1,False,5,2,1,3,56,5.0,0,0,0,17
BI21RG,2,79,14.110958099365234,1,False,5,2,1,4,57,2.0,1,1,0,17
BI21RG,22,80,8.01959228515625,1,False,5,1,1,1,58,2.0,2,1,0,17
BI21RG,77,81,21.311140060424805,3,True,5,4,0,4,59,1.0,1,1,1,18
BI21RG,44,82,17.177783012390137,3,True,5,6,0,4,59,4.0,2,0,0,18
BI21RG,23,83,17.350003242492676,2,True,6,6,0,4,59,6.0,3,0,0,18
BI21RG,42,84,5.5619940757751465,2,False,6,1,1,1,59,6.0,0,0,0,18
BI21RG,34,85,6.71732234954834,1,False,5,1,1,1,60,1.0,1,1,0,18
BI21RG,36,86,18.968230485916138,1,True,5,5,0,4,61,1.0,1,1,1,19
BI21RG,28,87,8.845371007919312,1,False,5,2,1,2,61,5.0,0,0,0,19
BI21RG,42,88,14.579119682312012,3,False,5,2,1,3,62,2.0,1,1,0,19
BI21RG,35,89,10.538870811462402,2,False,5,2,1,2,63,2.0,2,1,0,19
BI21RG,10,90,8.513690948486328,3,False,5,2,1,2,64,2.0,3,1,0,19
BI21RG,49,91,13.30620574951172,3,False,4,2,1,4,65,2.0,4,1,0,19
BI21RG,71,92,18.534442901611328,1,True,5,3,0,4,66,2.0,1,1,1,20
BI21RG,65,93,11.784403324127195,3,False,5,2,1,3,66,3.0,0,0,0,20
BI21RG,62,94,19.05392599105835,3,True,5,4,0,4,67,2.0,1,1,1,21
BI21RG,58,95,5.830702543258667,2,False,6,1,1,1,67,4.0,0,0,0,21
BI21RG,52,96,10.80556297302246,3,False,4,2,1,2,68,1.0,1,1,0,21
BI21RG,27,97,10.718727111816406,1,False,5,2,1,2,69,2.0,2,1,0,21
BI21RG,76,98,10.30732798576355,1,False,5,4,1,2,70,2.0,3,1,0,21
BI21RG,16,99,10.558485984802246,2,False,5,2,1,3,71,4.0,4,1,0,21
BI21RG,2,100,17.887147426605225,2,True,5,4,0,4,72,2.0,1,1,1,22
BI21RG,51,101,6.7200026512146,2,False,6,2,1,1,72,4.0,0,0,0,22
BI21RG,54,102,5.2959699630737305,2,False,5,1,1,1,73,2.0,1,1,0,22
BI21RG,53,103,8.81081509590149,1,False,6,1,1,1,74,1.0,2,1,0,22
BI21RG,34,104,6.463768005371094,2,False,5,1,1,1,75,1.0,3,1,0,22
BI21RG,32,105,17.472530126571655,1,True,6,3,0,4,76,1.0,1,1,1,23
BI21RG,3,106,12.68702793121338,1,False,5,3,1,3,76,3.0,0,0,0,23
BI21RG,8,107,18.436251401901245,1,False,6,3,1,3,77,3.0,1,1,0,23
BI21RG,58,108,6.311824083328247,3,False,3,1,1,1,78,3.0,2,1,0,23
BI21RG,69,109,9.43580174446106,2,False,4,2,1,2,79,1.0,3,1,0,23
BI21RG,35,110,18.98567366600037,3,True,5,4,0,4,80,2.0,1,1,1,24
BI21RG,16,111,14.559004068374634,3,False,5,4,1,4,80,4.0,0,0,0,24
BI21RG,12,112,12.980199575424194,1,False,5,3,1,3,81,4.0,1,1,0,24
BI21RG,46,113,11.035059690475464,1,False,5,1,1,2,82,3.0,2,1,0,24
BI21RG,27,114,10.526905536651611,2,False,5,2,1,2,83,1.0,3,1,0,24
BI21RG,25,115,17.795801162719727,1,True,5,3,0,4,84,2.0,1,1,1,25
BI21RG,20,116,6.196382761001587,1,False,5,3,1,1,84,3.0,0,0,0,25
BI21RG,11,117,18.555437564849854,2,True,5,2,0,4,85,3.0,1,1,1,26
BI21RG,8,118,13.020935297012327,2,False,5,1,1,3,85,2.0,0,0,0,26
BI21RG,40,119,18.104904174804688,2,True,5,2,0,4,86,1.0,1,1,1,27
BI21RG,8,120,8.187350749969482,3,False,5,1,1,1,86,2.0,0,0,0,27
BI21RG,43,121,7.704514026641846,1,False,5,1,1,1,87,1.0,1,1,0,27
BI21RG,41,122,18.56789374351501,2,True,5,5,0,4,88,1.0,1,1,1,28
BI21RG,61,123,17.241623163223267,1,True,5,4,0,4,88,5.0,2,0,0,28
BI21RG,39,124,10.68879508972168,2,False,5,4,1,2,88,4.0,0,0,0,28
BI21RG,37,125,15.920619010925291,1,False,5,2,1,4,89,4.0,1,1,0,28
BI21RG,72,126,6.36258864402771,1,False,5,1,1,1,90,2.0,2,1,0,28
BI21RG,30,127,5.951679468154907,2,False,5,1,1,1,91,1.0,3,1,0,28
BI21RG,13,128,9.884849071502686,2,False,5,1,1,2,92,1.0,4,1,0,28
BI21RG,68,129,12.105742931365969,2,False,5,1,1,3,93,1.0,5,1,0,28
BI21RG,46,130,11.29585862159729,2,False,4,1,1,2,94,1.0,6,1,0,28
BI21RG,19,131,10.568413734436035,2,False,5,1,1,2,95,1.0,7,1,0,28
BI21RG,75,132,5.04032039642334,2,False,5,1,1,1,96,1.0,8,1,0,28
BI21RG,43,133,7.091211318969727,2,False,5,1,1,1,97,1.0,9,1,0,28
BI21RG,53,134,16.950082302093506,2,True,3,4,0,4,98,1.0,1,1,1,29
BI21RG,34,135,5.730378866195679,3,False,3,1,1,1,98,4.0,0,0,0,29
BI21RG,39,136,17.01332974433899,3,True,3,5,0,4,99,1.0,1,1,1,30
BI21RG,3,137,13.005550622940063,2,False,3,2,1,3,99,5.0,0,0,0,30
BI21RG,19,138,6.64148211479187,3,False,5,1,1,1,100,2.0,1,1,0,30
BI21RG,38,139,7.733875036239624,1,False,4,1,1,1,101,1.0,2,1,0,30
BI21RG,59,140,18.0887291431427,3,True,4,3,0,4,102,1.0,1,1,1,31
BI21RG,27,141,10.631842374801636,3,False,4,1,1,2,102,3.0,0,0,0,31
BI21RG,69,142,9.001168251037598,3,False,4,1,1,2,103,1.0,1,1,0,31
